Device_id,Distance1,Device_id1,Distance2,Device_id2,Distance3,Device_id3
aa-27-84-29,2.9976379698907016,aa-22-22-58,9.470303504378546,aa-27-83-47,211.11691669991623,aa-22-17-23
aa-22-21-92,0.5808937842145516,aa-22-16-50,0.7230218095769924,aa-22-17-13,1.609099985040631,aa-22-22-56
aa-22-17-13,1.3027389135997722,aa-22-16-50,1.4438793258834206,aa-22-16-97,1.7280225024150104,aa-22-16-74
aa-22-16-92,1.7212596978629175,aa-27-83-98,1.99949633913693,aa-22-17-23,4.319306809419292,aa-22-16-97
aa-22-16-84,0.9044284417124772,aa-22-16-74,1.0814810403093134,aa-22-16-97,3.465492468716164,aa-22-16-50
aa-27-83-98,3.1606945163055995,aa-22-17-23,3.2200408383013763,aa-22-22-33,3.783566564704496,aa-22-22-56
aa-22-17-23,3.2357852773365114,aa-22-16-97,4.3189792660635735,aa-22-16-74,5.126555960555003,aa-22-16-50
aa-22-16-97,1.1127502609753874,aa-22-16-74,2.7232654537416674,aa-22-16-50,3.708860993038627,aa-22-22-56
aa-22-16-74,2.697927482880237,aa-22-16-50,3.8384418991544,aa-22-22-56,5.614996502350764,aa-22-22-33
aa-27-83-47,7.76106559784879,aa-22-22-58,225.52660824277464,aa-22-16-50,226.15870840835183,aa-22-22-56
aa-22-22-58,218.1983761700912,aa-22-16-50,218.84180761081168,aa-22-22-56,219.04464902628985,aa-22-22-33
aa-22-22-33,2.0790645422319574,aa-22-22-56,3.156679459963874,aa-22-16-50,629.6384983070736,aa-31-90-42
aa-22-22-56,1.167827828955107,aa-22-16-50,629.4681015055876,aa-31-90-42,632.2278275851803,aa-31-92-12
aa-22-16-50,629.9370029341877,aa-31-90-42,632.6926290941549,aa-31-92-12,658.8594152016798,aa-31-91-90
aa-31-91-90,0.0186488279884108,00-22-2f-18,0.0244854144352405,aa-22-17-52,0.2303289850425405,aa-22-16-72
aa-31-92-12,3.660294898665665,aa-31-90-42,63.670140379013326,aa-22-17-52,63.673303143335005,00-22-2f-18
aa-22-17-52,0.0059942704756162,00-22-2f-18,0.2387329216591689,aa-22-16-72,0.2432218200891114,aa-87-25-98
aa-31-90-42,66.9484337401452,00-22-2f-18,67.18357739500043,aa-22-16-72,67.18860959337997,aa-87-25-98
00-23-0e-1e,0.0063051592197338,00-26-0e-1b,0.0085389901034938,00-24-0e-15,0.0118029510369706,aa-22-22-16
00-22-2f-18,0.2354050296599676,aa-22-16-72,0.2401921472075436,aa-87-25-98,0.2427021338966646,00-24-0e-15
00-26-0e-1b,0.0089698213832708,aa-22-16-39,0.0122926431167917,aa-87-25-98,0.0132824703501448,00-24-0e-15
00-24-0e-15,0.0056282773758144,aa-22-22-16,0.0088364539066552,aa-87-25-98,0.0154802471849056,aa-22-16-39
aa-22-16-39,0.0087997505312922,aa-87-25-98,0.0132420719846029,aa-22-16-72,0.0210319284430085,aa-22-22-16
aa-22-16-72,0.0147949288292173,aa-87-25-98,0.0289429570255073,aa-22-22-16,,
aa-87-25-98,0.0143039358481664,aa-22-22-16,,,,
aa-22-22-70,0.9342407232028568,aa-22-22-53,1.956446609502554,aa-22-22-55,2.4562791063176515,aa-27-91-24
aa-22-22-55,1.6490313361059878,aa-22-22-53,2.2904897180637014,aa-22-17-04,4.304673561373062,aa-22-22-84
aa-22-21-90,1.1863402759849488,aa-27-91-24,1.4422751729141658,aa-22-16-64,1.5057406322315634,aa-22-22-84
aa-22-22-84,0.7891022314075862,aa-27-91-24,1.878739879111714,aa-22-16-64,2.6940522855451547,aa-22-22-53
aa-22-22-53,2.8844502055324863,aa-27-91-24,3.761561088547472,aa-22-17-04,4.528261258858329,aa-22-16-64
aa-22-16-64,1.7181905075060202,aa-22-22-32,2.1643204537021834,aa-27-91-24,2.443547915428884,aa-22-17-37
aa-22-17-37,0.8286128914121126,aa-22-22-32,4.24316600088832,aa-27-91-24,10.2290405338103,aa-22-17-04
aa-27-91-24,3.4153624828010964,aa-22-22-32,5.986299994522319,aa-22-17-04,,
aa-22-22-32,9.400802088902909,aa-22-17-04,,,,
